# Time: 2014-02-20 08:09:04
# Hour of Day (GLOW): 8.15111111111
# Hour of Day (DMSP): 8.15111111111
# Geographic Latitude: 79.9446182251
# Geographic Longitude: 73.5646972656
# Magnetic Latitude: 75.4594650269
# Magnetic Local Time: 13.5052032471
# LBH Short Radiance [R]: 878.121582031
# LBH Long Radiance [R]: 741.05456543
# SSJ Electron Energy Flux [mW/m^2]: 1.70902640355
# SSJ Ion Energy Flux [mW/m^2]: 0.0
# z,ped,hall,ionrate,O,O2,N2,NO,O+,O2+,NO+,N(2D),Ne(in),Ne(out),Tn,Ti,Te,3371A,4278A,5200A,5577A,6300A,7320A,10400A,3466A,7774A,8446A,3726A,LBH,1356,1493,1304
8.000000000000000000e+01,2.439551963107078336e-06,4.956784323439933360e-06,2.469545125961303711e+00,1.735540096000000000e+09,5.092664777113600000e+13,1.968138228858880000e+14,2.726257920000000000e+08,1.403931693122473234e-10,7.104585529305040836e-05,2.126631347656250000e+03,6.141949445009231567e-03,2.617309265136718750e+02,2.126631347656250000e+03,2.203044891357421875e+02,2.203044891357421875e+02,2.203044891357421875e+02,1.166159080412398907e-07,1.564709322110502399e-07,6.571885791117892950e-08,4.852565780311124399e-06,1.302829844007646898e-07,2.933791718676831417e-13,1.916877767627056528e-09,1.310270780763289622e-10,4.704933816677969727e-13,2.372509957590529517e-12,1.023682793369817747e-16,8.359715479855367448e-07,1.042332127727807478e-12,2.275575283761099854e-08,6.365618102077696960e-12
8.100000000000000000e+01,2.256661900901235640e-06,5.328776296664727852e-06,2.564449548721313477e+00,3.416388608000000000e+09,4.354310406144000000e+13,1.687430910443520000e+14,2.726257920000000000e+08,1.213958517043423058e-10,5.300843622535467148e-05,2.169541748046875000e+03,7.459369022399187088e-03,3.005939941406250000e+02,2.169541748046875000e+03,2.208867340087890625e+02,2.208867340087890625e+02,2.208867340087890625e+02,1.000128477812722849e-07,1.171375103581340227e-07,7.981525840250469628e-08,6.597389528906205669e-06,1.580836226366955088e-07,2.528597719663600030e-13,1.723295284250525583e-09,1.177948710795462262e-10,9.260498184254783993e-13,4.485690031225120222e-12,8.822767970494696998e-17,7.128027732505870517e-07,2.051558142118770078e-12,1.703497964911093732e-08,1.197108905059973694e-11
8.200000000000000000e+01,2.058254949588445015e-06,5.643651547870831564e-06,2.648901700973510742e+00,6.389338112000000000e+09,3.727436021760000000e+13,1.448778536058880000e+14,2.726257920000000000e+08,7.530817747181117738e-09,2.779721282422542572e-03,2.206503173828125000e+03,9.001256898045539856e-03,3.336132202148437500e+02,2.206505859375000000e+03,2.212477111816406250e+02,2.212477111816406250e+02,2.212477111816406250e+02,5.240950031293323264e-06,6.131346253823721781e-06,9.631344255467411131e-08,8.918708772398531437e-06,1.905263076196206384e-07,1.562373320995735781e-11,1.063336867446196266e-07,7.268378787728124735e-09,1.056711870783821894e-10,5.132989588929603997e-10,5.451441368090580164e-15,3.734472193173132837e-05,2.341326021948475500e-10,9.434068601876788307e-07,1.371416202822217656e-09
8.300000000000000000e+01,1.855729692579188850e-06,5.903503279114374891e-06,2.723365306854248047e+00,1.134973542400000000e+10,3.195421484646400000e+13,1.245950886543360000e+14,2.726257920000000000e+08,1.058940224396565100e-08,3.350792219862341881e-03,2.237462646484375000e+03,1.079482212662696838e-02,3.607879333496093750e+02,2.237466064453125000e+03,2.212852478027343750e+02,2.212852478027343750e+02,2.212852478027343750e+02,6.326032689685234800e-06,7.398968136840267107e-06,1.155045765699469484e-07,1.195091135741677135e-05,2.279719240050326334e-07,2.187740440195984348e-11,1.494823891334817745e-07,1.021778395227102010e-08,2.633164242205054961e-10,1.279214734140055043e-09,7.633952199765162150e-15,4.505466858972795308e-05,5.834280836225502753e-10,1.139473170042037964e-06,3.417919947068526199e-09
8.400000000000000000e+01,1.657909706409554929e-06,6.114183179306564853e-06,2.790048360824584961e+00,1.915928985600000000e+10,2.743798962585600000e+13,1.073518099824640000e+14,2.726257920000000000e+08,1.439036090289391723e-08,3.905822522938251495e-03,2.263010253906250000e+03,1.287887804210186005e-02,3.833670349121093750e+02,2.263014160156250000e+03,2.208994140625000000e+02,2.208994140625000000e+02,2.208994140625000000e+02,7.386513516394188628e-06,8.636820894025731832e-06,1.378040082045117742e-07,1.593014530953951180e-05,2.710913804548908956e-07,2.956934697095903175e-11,2.027031200668716338e-07,1.385565706613078873e-08,6.020139942108926334e-10,2.924853026442519877e-09,1.031973443331446472e-14,5.257803422864526510e-05,1.333887444943115952e-09,1.330050736214616336e-06,7.815087244011920120e-09
8.500000000000000000e+01,1.471438395128643606e-06,6.285912149905925617e-06,2.854456424713134766e+00,3.077075558400000000e+10,2.360069849088000000e+13,9.267828909670400000e+13,2.726257920000000000e+08,1.874361643672273203e-08,4.360460676252841949e-03,2.284999511718750000e+03,1.531732454895973206e-02,4.036061401367187500e+02,2.285003906250000000e+03,2.199962615966796875e+02,2.199962615966796875e+02,2.199962615966796875e+02,8.264523785328492522e-06,9.660054274718277156e-06,1.638953506244433811e-07,2.117471558449324220e-05,3.209650856206280878e-07,3.822176949941358259e-11,2.624979913434799528e-07,1.794290049872415693e-08,1.252207115776116098e-09,6.084240666837104072e-09,1.334405371302468252e-14,5.879039963474497199e-05,2.774547258610482459e-09,1.487597046434530057e-06,1.625731727017409867e-08
8.600000000000000000e+01,1.302674149883387145e-06,6.441528967116028070e-06,2.933661937713623047e+00,4.709635686400000000e+10,2.033524618035200000e+13,8.017146177126400000e+13,2.726257920000000000e+08,2.361391082672525954e-08,4.699930083006620407e-03,2.309736328125000000e+03,1.826786063611507416e-02,4.294548034667968750e+02,2.309740966796875000e+03,2.184913787841796875e+02,2.184913787841796875e+02,2.184913787841796875e+02,8.929009709390811622e-06,1.043245356413535774e-05,1.954660859837531461e-07,2.823154136422090232e-05,3.805185997407534160e-07,4.761886718274155328e-11,3.268460204708389938e-07,2.234137319589990511e-08,2.391858489048104275e-09,1.162241503038785595e-08,1.663511383222064655e-14,6.347223825287073851e-05,5.299743310871463109e-09,1.606579758117732126e-06,3.105627754962370091e-08
8.700000000000000000e+01,1.159822772933694068e-06,6.633550128753995523e-06,3.073234796524047852e+00,6.883600793600000000e+10,1.755025873305600000e+13,6.948694209331200000e+13,2.726257920000000000e+08,2.912396901422198425e-08,4.983813967555761337e-03,2.354003906250000000e+03,2.216915972530841827e-02,4.841280822753906250e+02,2.354008789062500000e+03,2.163145904541015625e+02,2.163145904541015625e+02,2.163145904541015625e+02,9.410646271135192364e-06,1.098987559089437127e-05,2.372100169623081456e-07,3.827962427749298513e-05,4.582874737479869509e-07,5.778250794508110744e-11,3.948952951304818271e-07,2.699284351592723397e-08,4.247469931328851089e-09,2.064009052560322743e-08,2.020632501652328689e-14,6.684495747322216630e-05,9.411391665992141498e-09,1.692862156232877169e-06,5.515178358450611995e-08
8.800000000000000000e+01,1.053676328410801943e-06,6.964668500586412847e-06,3.373108386993408203e+00,9.629875404800000000e+10,1.516823379968000000e+13,6.033218574745600000e+13,2.726257920000000000e+08,3.585957841778508737e-08,5.760688800364732742e-03,2.452069335937500000e+03,2.814474329352378845e-02,6.084981689453125000e+02,2.452075195312500000e+03,2.134141235351562500e+02,2.134141235351562500e+02,2.134141235351562500e+02,9.846805369306821376e-06,1.149276613432448357e-05,3.011487024195957929e-07,5.416941712610423565e-05,5.763491230936779175e-07,6.953201903137085083e-11,4.705610194832843263e-07,3.216493027480282763e-08,7.154377090756725011e-09,3.476471377439338539e-08,2.435334242210582256e-14,6.989047687966376543e-05,1.585267206394291861e-08,1.772356881701853126e-06,9.287963820270306314e-08
8.900000000000000000e+01,9.944467365130549297e-07,7.588541848235763609e-06,4.015122890472412109e+00,1.292595527680000000e+11,1.312376540364800000e+13,5.245986720972800000e+13,2.726257920000000000e+08,4.577762169333254860e-08,1.070205308496952057e-02,2.655700439453125000e+03,3.870344161987304688e-02,8.974028930664062500e+02,2.655711181640625000e+03,2.097603302001953125e+02,2.097603302001953125e+02,2.097603302001953125e+02,1.060352497006533667e-05,1.236778371094260365e-05,4.141268448165646987e-07,8.267359953606501222e-05,7.835266160327591933e-07,8.607060203447147728e-11,5.723916274291696027e-07,3.912550639029177546e-08,1.188171516730562871e-08,5.772218969468667638e-08,3.021470877315191039e-14,7.521619409089908004e-05,2.632842921457267948e-08,1.913992036861600354e-06,1.541323939591165981e-07
